# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Standard Edition
# File: /home/florian/repos/teaching/ddca/2018/dd/template_vhdl/top/quartus/top_pinout.csv
# Generated on: Wed Feb 21 12:11:35 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
b[7],Output,PIN_V24,5,B5_N1,PIN_V24,3.3-V LVTTL,,8ma,2,,
b[6],Output,PIN_P25,6,B6_N2,PIN_P25,3.3-V LVTTL,,8ma,2,,
b[5],Output,PIN_U27,5,B5_N0,PIN_U27,3.3-V LVTTL,,8ma,2,,
b[4],Output,PIN_P26,6,B6_N2,PIN_P26,3.3-V LVTTL,,8ma,2,,
b[3],Output,PIN_R23,5,B5_N0,PIN_R23,3.3-V LVTTL,,8ma,2,,
b[2],Output,PIN_U22,5,B5_N0,PIN_U22,3.3-V LVTTL,,8ma,2,,
b[1],Output,PIN_R22,5,B5_N0,PIN_R22,3.3-V LVTTL,,8ma,2,,
b[0],Output,PIN_V28,5,B5_N1,PIN_V28,3.3-V LVTTL,,8ma,2,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,3.3-V LVTTL,,8ma,,,
den,Output,PIN_V27,5,B5_N1,PIN_V27,3.3-V LVTTL,,8ma,2,,
g[7],Output,PIN_V26,5,B5_N1,PIN_V26,3.3-V LVTTL,,8ma,2,,
g[6],Output,PIN_L21,6,B6_N0,PIN_L21,3.3-V LVTTL,,8ma,2,,
g[5],Output,PIN_R27,5,B5_N0,PIN_R27,3.3-V LVTTL,,8ma,2,,
g[4],Output,PIN_L22,6,B6_N0,PIN_L22,3.3-V LVTTL,,8ma,2,,
g[3],Output,PIN_R28,5,B5_N0,PIN_R28,3.3-V LVTTL,,8ma,2,,
g[2],Output,PIN_N25,6,B6_N2,PIN_N25,3.3-V LVTTL,,8ma,2,,
g[1],Output,PIN_V23,5,B5_N1,PIN_V23,3.3-V LVTTL,,8ma,2,,
g[0],Output,PIN_N26,6,B6_N2,PIN_N26,3.3-V LVTTL,,8ma,2,,
grest,Output,PIN_P28,6,B6_N2,PIN_P28,3.3-V LVTTL,,8ma,2,,
hd,Output,PIN_P21,5,B5_N0,PIN_P21,3.3-V LVTTL,,8ma,2,,
hex0[6],Output,PIN_H22,6,B6_N0,PIN_H22,3.3-V LVTTL,,,,,
hex0[5],Output,PIN_J22,6,B6_N0,PIN_J22,3.3-V LVTTL,,,,,
hex0[4],Output,PIN_L25,6,B6_N1,PIN_L25,3.3-V LVTTL,,,,,
hex0[3],Output,PIN_L26,6,B6_N1,PIN_L26,3.3-V LVTTL,,,,,
hex0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
hex0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
hex0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
hex1[6],Output,PIN_U24,5,B5_N0,PIN_U24,3.3-V LVTTL,,,,,
hex1[5],Output,PIN_U23,5,B5_N1,PIN_U23,3.3-V LVTTL,,,,,
hex1[4],Output,PIN_W25,5,B5_N1,PIN_W25,3.3-V LVTTL,,,,,
hex1[3],Output,PIN_W22,5,B5_N0,PIN_W22,3.3-V LVTTL,,,,,
hex1[2],Output,PIN_W21,5,B5_N1,PIN_W21,3.3-V LVTTL,,,,,
hex1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,3.3-V LVTTL,,,,,
hex1[0],Output,PIN_M24,6,B6_N2,PIN_M24,3.3-V LVTTL,,,,,
hex2[6],Output,PIN_W28,5,B5_N1,PIN_W28,3.3-V LVTTL,,,,,
hex2[5],Output,PIN_W27,5,B5_N1,PIN_W27,3.3-V LVTTL,,,,,
hex2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,3.3-V LVTTL,,,,,
hex2[3],Output,PIN_W26,5,B5_N1,PIN_W26,3.3-V LVTTL,,,,,
hex2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,3.3-V LVTTL,,,,,
hex2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,3.3-V LVTTL,,,,,
hex2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,3.3-V LVTTL,,,,,
hex3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,3.3-V LVTTL,,,,,
hex3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,3.3-V LVTTL,,,,,
hex3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,3.3-V LVTTL,,,,,
hex3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,3.3-V LVTTL,,,,,
hex3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,3.3-V LVTTL,,,,,
hex3[1],Output,PIN_U21,5,B5_N0,PIN_U21,3.3-V LVTTL,,,,,
hex3[0],Output,PIN_V21,5,B5_N1,PIN_V21,3.3-V LVTTL,,,,,
hex4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,3.3-V LVTTL,,,,,
hex4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,3.3-V LVTTL,,,,,
hex4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,3.3-V LVTTL,,,,,
hex4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,3.3-V LVTTL,,,,,
hex4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,3.3-V LVTTL,,,,,
hex4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,3.3-V LVTTL,,,,,
hex4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,3.3-V LVTTL,,,,,
hex5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,3.3-V LVTTL,,,,,
hex5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,3.3-V LVTTL,,,,,
hex5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,3.3-V LVTTL,,,,,
hex5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,3.3-V LVTTL,,,,,
